ingredient,tier,n_regulators_in_window,regulators,most_recent_approval,example_brands,applicants
mesna,B: confirm date(s),1,FDA(2026-01-27); HSA(no-date),2026-01-27,MESNA; UROMITEXAN TABLETS 600 mg,EUGIA PHARMA; TEMMLER PHARMA GMBH
rilpivirine,B: confirm date(s),1,FDA(2026-01-29); HSA(no-date),2026-01-29,REKAMBYS PROLONGED-RELEASE SUSPENSION FOR INJECTION 300MG/ML; RILPIVIRINE HYDROCHLORIDE,Cilag AG; SOMERSET THERAPS LLC
lenalidomide,B: confirm date(s),1,FDA(2026-02-02); HSA(no-date),2026-02-02,LENALIDOMIDE; MYOLID CAPSULES 25 MG,BIOCON PHARMA LIMITED; CIPLA
doxorubicin,B: confirm date(s),1,FDA(2026-02-03); HSA(no-date),2026-02-03,DIOX POWDER FOR INJECTION 10 mg/vial; DOXORUBICIN HYDROCHLORIDE,DAE HAN NEW PHARM. CO. LTD.; QILU PHARM HAINAN
carboplatin,B: confirm date(s),1,FDA(2026-02-04); HSA(no-date),2026-02-04,CARBOPLATIN; CARBOTINOL INJECTION 50 mg/5 ml,KOREA UNITED PHARMACEUTICAL INC; QILU PHARM HAINAN
zoledronic acid,B: confirm date(s),1,FDA(2026-02-05); HSA(no-date),2026-02-05,ZOLEDRONIC ACID; Zometa Concentrate for Solution for Infusion 4 mg/5 ml,GLAND; Novartis Pharma Stein AG&&Fresenius Kabi Austria GmbH&&FISIOPHARMA S.R.L.
nystatin,B: confirm date(s),1,FDA(2026-02-05); HSA(no-date),2026-02-05,"NYSTATIN; NYSTATIN VAGINAL TABLET 100,000 units",STERANCO HLTHCARE; YUNG SHIN PHARMACEUTICAL IND CO LTD
aztreonam,B: confirm date(s),1,FDA(2026-02-05); HSA(no-date),2026-02-05,AZACTAM FOR INJECTION 1 g/vial; AZTREONAM,CATALENT ANAGNI S.R.L.; HIKMA
fludrocortisone,B: confirm date(s),1,FDA(2026-02-10); HSA(no-date),2026-02-10,FLORINEF TABLET 0.1 mg; FLUDROCORTISONE ACETATE,HIBROW HLTHCARE; Haupt Pharma Amareg GmbH
fluorometholone,B: confirm date(s),1,FDA(2026-02-12); HSA(no-date),2026-02-12,FLUOROMETHOLONE; FML LIQUIFILM OPHTHALMIC SUSPENSION 0.1%,ALLERGAN PHARMACEUTICALS IRELAND; SANDOZ
metronidazole,B: confirm date(s),1,FDA(2026-02-13); HSA(no-date),2026-02-13,METRONIDAZOLE; ROZEX CREAM 0.75%,LABORATOIRES GALDERMA; ZYDUS LIFESCIENCES
etoposide,B: confirm date(s),1,FDA(2026-02-13); HSA(no-date),2026-02-13,AVOPEF; ETOPOSIDE-TEVA INJECTION 20 mg/ml,AVYXA HOLDINGS; PHARMACHEMIE BV
colchicine,B: confirm date(s),1,FDA(2026-02-17); HSA(no-date),2026-02-17,COLCHICINE; COLCITEX TABLET 0.6 mg,MICRO LABS; THE UNITED DRUG (1996) CO LTD
aripiprazole,B: confirm date(s),1,FDA(2026-02-18); HSA(no-date),2026-02-18,ARIPDON Tablets 5mg; ARIPIPRAZOLE,AUROBINDO PHARMA; PHARMATHEN INTERNATIONAL S.A&&Pharmathen S.A. (Primary and Secondary Packager)
fluorouracil,B: confirm date(s),1,FDA(2026-02-20); HSA(no-date),2026-02-20,DBL Fluorouracil Injection BP 50mg/mL; FAVLYXA,AVYXA HOLDINGS; Hospira Australia Pty Ltd
ipratropium,B: confirm date(s),1,FDA(2026-02-23); HSA(no-date),2026-02-23,IPRATROPIUM BROMIDE; STERI-NEB IPRATROPIUM NEBULISER SOLUTION 250 mcg/ml,ARMSTRONG PHARMS; IVAX PHARMACEUTICALS UK
cetirizine,B: confirm date(s),1,FDA(2026-02-25); HSA(no-date),2026-02-25,CETIRIZINE HYDROCHLORIDE; SUNIZINE TABLET 10MG,RUBICON RESEARCH; Sunward Pharmaceutical Sdn Bhd
lamotrigine,B: confirm date(s),1,FDA(2026-02-25); HSA(no-date),2026-02-25,LAMOTRIGINE; Lamotrix Tablet 100mg,ALEMBIC; MEDOCHEMIE Ltd. (Central Factory)&&MEDOCHEMIE (FAR EAST) LTD. (ORAL FACILITY)
bumetanide,B: confirm date(s),1,FDA(2026-02-26); HSA(no-date),2026-02-26,BUMETANIDE; BURINEX TABLET 1 mg,ANTHEA PHARMA; allphamed PHARBIL Arzneimittel GmbH
diltiazem,B: confirm date(s),1,FDA(2026-02-27); HSA(no-date),2026-02-27,DILTIAZEM HYDROCHLORIDE; HERBESSER 60 TABLET 60 mg,MACLEODS PHARMS LTD; PT Mitsubishi Tanabe Pharma Indonesia
calcitriol,B: confirm date(s),1,FDA(2026-02-27); HSA(no-date),2026-02-27,CALCITRIOL; RASPUTIN SOFT CAPSULE 0.25 mcg,HUMANWELL PURACAP; YOUNG IL PHARM CO LTD&&Hanmi Pharmaceuticals
moxifloxacin,B: confirm date(s),1,FDA(2026-03-02); HSA(no-date),2026-03-02,JOYLOXIN INJECTION 400MG/250ML; MOXIFLOXACIN HYDROCHLORIDE,KOREA UNITED PHARM .INC; MACLEODS PHARMS LTD
rivaroxaban,B: confirm date(s),1,FDA(2026-03-02); HSA(no-date),2026-03-02,INVAROX FILM COATED TABLET 20MG; RIVAROXABAN,APOTEX; RONTIS HELLAS MEDICAL AND PHARMACEUTICAL PRODUCTS S.A.&&PHAROS MT LTD
glipizide,B: confirm date(s),1,FDA(2026-03-04); HSA(no-date),2026-03-04,DIBIZIDE TABLETS 5 mg; GLIPIZIDE,GRAVITI PHARMS; MICRO LABS LTD
rocuronium,B: confirm date(s),1,FDA(2026-03-04); HSA(no-date),2026-03-04,ROCURONIUM BROMIDE; ROCURONIUM-HAMELN INJECTION 10MG/ML,ASPIRO; Siegfried Hameln GmbH
ibuprofen,B: confirm date(s),1,FDA(2026-03-05); HSA(no-date),2026-03-05,BRUFEN TABLET 200 mg; IBUPROFEN,RUBICON RESEARCH; THE BOOTS CO PLC
olanzapine,B: confirm date(s),1,FDA(2026-03-05); HSA(no-date),2026-03-05,OLANKLINE TABLETS 10MG; OLANZAPINE,ANTHEA PHARMA; DR REDDY'S LABORATORIES LIMITED
bisoprolol,B: confirm date(s),1,FDA(2026-03-09); HSA(no-date),2026-03-09,BISODAC 5 FILM-COATED TABLETS 5MG; BISOPROLOL FUMARATE,"AUROBINDO PHARMA LIMITED, FORMULATION (UNIT-XV); MICRO LABS"
fluticasone,B: confirm date(s),1,FDA(2026-03-16); HSA(no-date),2026-03-16,FLIXOTIDE EVOHALER 125 mcg; FLUTICASONE PROPIONATE,GLAXO WELLCOME PRODUCTION&&Glaxo Wellcome S.A.; GLENMARK SPECLT
valganciclovir,B: confirm date(s),1,FDA(2026-03-19); HSA(no-date),2026-03-19,VALCYTE TABLET 450 mg; VALGANCICLOVIR HYDROCHLORIDE,MICRO LABS; PATHEON INC
ephedrine,B: confirm date(s),1,FDA(2026-03-19); HSA(no-date),2026-03-19,DBL EPHEDRINE SULFATE INJECTION 30 mg/ml; EPHEDRINE SULFATE,FRESENIUS KABI USA; Siegfried Hameln GmbH
rifaximin,B: confirm date(s),1,FDA(2026-03-19); HSA(no-date),2026-03-19,RIFAXIMIN; XIFAXAN Film-coated Tablet 550mg,ACTAVIS LABS FL INC; Alfasigma S.p.A.
lidocaine,B: confirm date(s),1,FDA(2026-03-20); HSA(no-date),2026-03-20,LIDOCAINE HYDROCHLORIDE; XYLOCAINE JELLY 2%,QUAGEN; Recipharm Karlskoga AB
clindamycin,B: confirm date(s),1,FDA(2026-03-23); HSA(no-date),2026-03-23,CLIMADAN CAPSULE 150 mg; CLINDAMYCIN PHOSPHATE,PT. DANKOS FARMA; RISING
cladribine,B: confirm date(s),1,FDA(2026-03-27); HSA(no-date),2026-03-27,CLADRIBINE; MAVENCLAD TABLET 10MG,HOPEWELL PHARMA; NerPharMa S.R.L.&&R-Pharm Germany GmbH
phenylephrine,B: confirm date(s),1,FDA(2026-04-03); HSA(no-date),2026-04-03,MYDFRIN STERILE OPHTHALMIC SOLUTION 2.5%; PHENYLEPHRINE HYDROCHLORIDE,ALCON RESEARCH LLC; BAXTER HLTHCARE CORP
dapagliflozin,B: confirm date(s),1,FDA(2026-04-06); HSA(no-date),2026-04-06,DAPAGLIFLOZIN; DAPAGLIFLOZIN SANDOZ FILM COATED TABLET 10MG,Sandoz Private Limited; TEVA PHARMS USA
ivermectin,B: confirm date(s),1,FDA(2026-04-07); HSA(no-date),2026-04-07,IVERMECTIN; SOOLANTRA CREAM 10MG/G,AJANTA PHARMA LTD; LABORATOIRES GALDERMA
progesterone,B: confirm date(s),1,FDA(2026-04-08); HSA(no-date),2026-04-08,CRINONE PROGESTERONE VAGINAL GEL 8%; PROGESTERONE,DENDRON BRANDS LTD&&maropack ag; GLENMARK PHARMS
ofloxacin,B: confirm date(s),1,FDA(2026-04-08); HSA(no-date),2026-04-08,OFLOX TABLET 200 mg; OFLOXACIN,BROWN & BURK PHARMACEUTICAL LTD; MICRO LABS
bicarbonate,B: confirm date(s),1,FDA(2026-04-15); HSA(no-date),2026-04-15,SODIUM BICARBONATE; SODIUM BICARBONATE INTRAVENOUS INFUSION BP 4.2% w/v,ASPIRO; B BRAUN MELSUNGEN AG
atropine,B: confirm date(s),1,FDA(2026-04-15); HSA(no-date),2026-04-15,ATROPINE SULFATE; ATROPINE SULPHATE INJECTION 0.6 mg/ml,ATLANTIC LABORATORIES CORPN LTD; EDENBRIDGE PHARMS
selexipag,B: confirm date(s),1,FDA(2026-04-16); HSA(no-date),2026-04-16,SELEXIPAG; UPTRAVI FILM-COATED TABLETS 1600MCG,EXCELLA GmbH & Co. KG&&ALLPACK GROUP AG (Primary and Secondary Packager); RK PHARMA
enzalutamide,B: confirm date(s),1,FDA(2026-04-20); HSA(no-date),2026-04-20,ENZALUTAMIDE; XTANDI™ SOFT CAPSULES 40MG,"Catalent Pharma Solutions, LLC&&AndersonBrecon Inc. (primary and secondary packaging); SANDOZ"
pirfenidone,B: confirm date(s),1,FDA(2026-04-20); HSA(no-date),2026-04-20,ESBRIET FILM COATED TABLET 267MG; PIRFENIDONE,AUROBINDO PHARMA; Delpharm Milano S.r.l.
valsartan,B: confirm date(s),1,FDA(2026-04-21); HSA(no-date),2026-04-21,HOVID-VALSARTAN FILM COATED TABLET 160 MG; VALSARTAN,HOVID Bhd (Chemor); LAURUS
tolvaptan,B: confirm date(s),1,FDA(2026-04-21); HSA(no-date),2026-04-21,SAMSCA TABLET 15MG; TOLVAPTAN,"ALKEM LABS LTD; Korea Otsuka Pharmaceutical Co., Ltd.&&Otsuka Pharmaceutical Co., Ltd. - Tokushima Factory (DP intermediate)"
pantoprazole,B: confirm date(s),1,FDA(2026-04-22); HSA(no-date),2026-04-22,PANTOPRAZOLE SODIUM; PEPTAZOL 40 TABLET 40 mg,QUIMICA MONTPELLIER S A; SHUANGCHENG
escitalopram,B: confirm date(s),1,FDA(2026-04-22); HSA(no-date),2026-04-22,ESCITALOPRAM OXALATE; LEXAPRO TABLET 5 mg,H LUNDBECK A/S; MICRO LABS
bupivacaine,B: confirm date(s),1,FDA(2026-04-22); HSA(no-date),2026-04-22,BUPIVACAINE HYDROCHLORIDE; MARCAIN SPINAL 0.5% HEAVY INJECTION,ANTHEA PHARMA; Cenexi
salbutamol,B: confirm date(s),1,FDA(2026-04-22); HSA(no-date),2026-04-22,ALBUTEROL SULFATE; SALBUAIR CFC-FREE INHALER 100 mcg/dose,CIPLA; LABORATORIO ALDO-UNION S.L.
flecainide,B: confirm date(s),1,FDA(2026-04-22); HSA(no-date),2026-04-22,FLECAINIDE ACETATE; JAMP FLECAINIDE ACETATE TABLETS USP 100 MG,Aizant Drug Research Solutions Pvt. Ltd.&&Unison Pharmaceuticals Private Limited; OMSAV PHARMA
ticagrelor,B: confirm date(s),1,FDA(2026-04-27); HSA(no-date),2026-04-27,BRILINTA TABLET 60 MG; TICAGRELOR,AstraZeneca AB&&AstraZeneca Pharmaceutical Co. Ltd; MICRO LABS
methotrexate,B: confirm date(s),1,FDA(2026-04-30); HSA(no-date),2026-04-30,METHOTREXATE REMEDICA FILM-COATED TABLET 2.5MG; METHOTREXATE SODIUM,HETERO LABS LTD VI; REMEDICA LTD (BUILDING 10-ANTINEOPLASTIC AND IMMUNOMODULATING PRODUCTS)
pregabalin,B: confirm date(s),1,FDA(2026-04-30); HSA(no-date),2026-04-30,PEGASET 25 CAPSULES 25MG; PREGABALIN,AUROBINDO PHARMA LIMITED - UNIT VII; UNICHEM
mirabegron,B: confirm date(s),1,FDA(2026-05-01); HSA(no-date),2026-05-01,BETMIGA ® PROLONGED-RELEASE TABLETS 50MG; MIRABEGRON,"Avara Pharmaceutical Technologies, Inc.; DEVA HOLDING AS"
trabectedin,B: confirm date(s),1,FDA(2026-05-01); HSA(no-date),2026-05-01,EVDI; YONDELIS Powder for Injection 1mg/vial,APOTEX; Baxter Oncology GmbH
voriconazole,B: confirm date(s),1,FDA(2026-05-05); HSA(no-date),2026-05-05,VORICONAZOLE; VORICONAZOLE MYLAN POWDER FOR SOLUTION FOR INJECTION 200 MG/VIAL,Mylan Laboratories Ltd Hosur Steriles Facility (HSF); ZHEJIANG NOVUS
vasopressin,B: confirm date(s),1,FDA(2026-05-06); HSA(no-date),2026-05-06,VASOPRESSIN; VASOPRESSIN INJECTION USP 20 u/ml,"Fresenius Kabi USA, LLC; SANDOZ"
brimonidine,B: confirm date(s),1,FDA(2026-05-07); HSA(no-date),2026-05-07,BRIMONIDINE TARTRATE; RIMONAL EYE DROPS 0.15% w/v,MICRO LABS; World Medicine İlaç San ve Tic. A.Ş.
hydrocortisone,B: confirm date(s),1,FDA(2026-05-07); HSA(no-date),2026-05-07,CORTISONE CREAM 1%; HYDROCORTISONE SODIUM SUCCINATE,HOVID BHD; ZYDUS PHARMS
paliperidone,B: confirm date(s),1,FDA(2026-05-07); HSA(no-date),2026-05-07,Invega Extended-Release Tablet 9mg; PALIPERIDONE,I3 PHARMS; JANSSEN CILAG MANUFACTURING LLC
levetiracetam,B: confirm date(s),1,FDA(2026-05-08); HSA(no-date),2026-05-08,INTIRACETAM FILM COATED TABLET 500mg; LEVETIRACETAM IN SODIUM CHLORIDE,MYLAN LABS LTD; Rontis Hellas Medical and Pharmaceutical Products S.A.
estradiol,B: confirm date(s),1,FDA(2026-05-11); HSA(no-date),2026-05-11,ESTRADIOL; PROGYNOVA TABLET 2 mg,Bayer Weimar GmbH und Co. KG; ENCUBE
famotidine,B: confirm date(s),1,FDA(2026-05-12); HSA(no-date),2026-05-12,FAMOTIDINE; FEBCID-40 TABLET 40 mg,LUPIN; Micro Labs Limited
everolimus,B: confirm date(s),1,FDA(2026-05-12); HSA(no-date),2026-05-12,Afinitor Tablet 10mg; EVEROLIMUS,APOTEX; Novartis Pharma Stein AG&&Novartis Pharmaceutical Manufacturing LLC (drug product intermediate manufacturer)&&Novartis Pharma AG (drug product intermediate manufacturer)&&Sandoz S.R.L.&&Novart
tadalafil,B: confirm date(s),1,FDA(2026-05-15); HSA(no-date),2026-05-15,TADALAFIL; ZENAVIL FILM COATED TABLETS 20MG,JUBILANT GENERICS; MEDOCHEMIE LTD - CENTRAL FACTORY&&MEDOCHEMIE LTD - FACTORY AZ (Primary & Secondary Packager)
venetoclax,B: confirm date(s),1,FDA(2026-05-15); HSA(no-date),2026-05-15,VENCLEXTA FILM-COATED TABLET 10MG; VENETOCLAX,AbbVie Deutschland GmbH & Co. KG (Extrudate)&&AbbVie Ireland NL B.V.&&AbbVie Inc. (Primary & Secondary Packager); DR REDDYS
clomiphene,B: confirm date(s),1,FDA(2026-05-15); HSA(no-date),2026-05-15,CLOMIPHENE CITRATE; CLOMIPHENE TABLETS 50 mg,ASCENT PHARMS INC; Y S P INDUSTRIES (M) SDN BHD
mirtazapine,B: confirm date(s),1,FDA(2026-05-19); HSA(no-date),2026-05-19,APO-MIRTAZAPINE TABLET 30MG; MIRTAZAPINE,Apotex Inc. (Etobicoke Site); MICRO LABS
levothyroxine,B: confirm date(s),1,FDA(2026-05-20); HSA(no-date),2026-05-20,LEVOTHYROXINE SODIUM; THYROCORD 100 TABLET 100 MCG,ALEMBIC; Intas Pharmaceuticals Limited.
clonazepam,B: confirm date(s),1,FDA(2026-05-21); HSA(no-date),2026-05-21,CLONAZEPAM; CLONOTRIL 0.5 TABLET 0.5 mg,REMEDICA LTD; RUBICON RESEARCH
topiramate,B: confirm date(s),1,FDA(2026-05-26); HSA(no-date),2026-05-26,TOPIRAMATE; TROKENDI XR® EXTENDED-RELEASE CAPSULE 200MG,"Orient Pharma Co., Ltd.; RICONPHARMA LLC"
linagliptin,B: confirm date(s),1,FDA(2026-05-27); HSA(no-date),2026-05-27,LINAGLIPTIN; Trajenta Film-Coated Tablets 5mg,TEVA PHARMS USA; West-Ward Columbus Inc.&&Dragenopharm Apotheker Püschl GmbH&&Boehringer Ingelheim Seiyaku Co. Ltd.
adrenaline,B: confirm date(s),1,FDA(2026-05-29); HSA(no-date),2026-05-29,EPINEPHRINE; EpiPen (Epinephrine) Auto-Injector 0.3mg/dose (1mg/ml),HIKMA; Meridian Medical Technologies LLC
mycophenolate mofetil,B: confirm date(s),1,FDA(2026-06-01); HSA(no-date),2026-06-01,MYCOPHENOLATE MOFETIL; TRANSTERO MYCOPHENOLATE MOFETIL CAPSULES 250MG USP,CONCORD BIOTECH LTD; Hetero Labs Limited
eribulin,B: confirm date(s),1,FDA(2026-06-01); HSA(no-date),2026-06-01,ERIBULIN MESYLATE; Halaven Solution for Injection 0.5mg/mL,NATCO; NERPHARMA S.R.L.&&BSP Pharmaceuticals S.p.A (DP & Primary packager)
haloperidol,B: confirm date(s),1,FDA(2026-06-04); HSA(no-date),2026-06-04,HALOPERIDOL; MYUNG IN HALOPERIDOL INJECTION 5 mg/ml,ALEMBIC; MYUNG IN PHARM CO LTD
cephalexin,B: confirm date(s),1,FDA(2026-06-09); HSA(no-date),2026-06-09,CEPHALEXIN; SOFILEX FOR ORAL SUSPENSION 125 mg/5 ml,AUROBINDO PHARMA; XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD
tofacitinib,B: confirm date(s),1,FDA(2026-06-09); HSA(no-date),2026-06-09,TOFACITINIB CITRATE; XELJANZ TABLET 5MG,Pfizer Manufacturing Deutschland GmbH; YAOPHARMA CO LTD
hydroxyzine,B: confirm date(s),1,FDA(2026-06-11); HSA(no-date),2026-06-11,AA PHARMA HYDROXYZINE CAPSULE 10 mg; HYDROXYZINE HYDROCHLORIDE,CATALENT ONTARIO LIMITED; SAPTALIS PHARMS
tretinoin,B: confirm date(s),1,FDA(2026-06-11); HSA(no-date),2026-06-11,RETRIEVE CREAM 0.05% w/w; TRETINOIN,ALEMBIC; Milpharma Pty Ltd
gadobutrol,B: confirm date(s),1,FDA(2026-06-11); HSA(no-date),2026-06-11,GADOBUTROL; GADOVIST 1MMOL/ML PREFILLED SYRINGE 5.0 ML,BAYER AG; VIWIT PHARM
cabergoline,B: confirm date(s),1,FDA(2026-06-15); HSA(no-date),2026-06-15,CABERGOLINE; DOSTINEX TABLET 0.5 mg,Pfizer Italia S.r.l.; RENATA
liraglutide,B: confirm date(s),1,FDA(2026-06-15); HSA(no-date),2026-06-15,LIRAGLUTIDE; SAXENDA® SOLUTION FOR INJECTION IN PRE-FILLED PEN 6MG/ML,"MYLAN INSTITUTIONAL; Novo Nordisk A/S&&Novo Nordisk Pharmaceutical Industries, LP"
perampanel,B: confirm date(s),1,FDA(2026-06-15); HSA(no-date),2026-06-15,FYCOMPA ORAL SUSPENSION 0.5MG/ML; PERAMPANEL,Delpharm Huningue S.A.S.; TARO
aprepitant,B: confirm date(s),1,FDA(2026-06-16); HSA(no-date),2026-06-16,APREPITANT; EMEND CAPSULE 80 mg,AZURITY; Alkermes Pharma Ireland Limited&&PT Organon Pharma Indonesia Tbk (Primary and Secondary Packager)
diphenhydramine,B: confirm date(s),1,FDA(2026-06-17); HSA(no-date),2026-06-17,DIPHENHYDRAMINE HYDROCHLORIDE; PAXIDORM TABLETS 25 mg,ANNORA PHARMA; PHARMASERVE LTD
baloxavir marboxil,B: confirm date(s),1,FDA(2026-06-17); HSA(no-date),2026-06-17,BALOXAVIR MARBOXIL; XOFLUZA FILM COATED TABLETS 40MG,"NORWICH; Shionogi Pharma Co. Ltd. (Settsu Plant)&&Sharp Packaging Services, LLC (Primary and Secondary Packager)&&F. Hoffmann-La Roche Ltd (Primary and Secondary Packager)"
bupropion,B: confirm date(s),1,FDA(2026-06-23); HSA(no-date),2026-06-23,BUPROPION HYDROCHLORIDE; WELLBUTRIN SR TABLETS 150 mg,GlaxoSmithKline LLC d/b/a GlaxoSmithKline&&Glaxo Wellcome S.A. (Primary and secondary packaging); MACLEODS PHARMS LTD
gabapentin,B: confirm date(s),1,FDA(2026-06-23); HSA(no-date),2026-06-23,GABAPENTIN; PMS-GABAPENTIN CAPSULE 100 mg,ACTAVIS ELIZABETH; PHARMEL INC
fluvoxamine,B: confirm date(s),1,FDA(2026-06-23); HSA(no-date),2026-06-23,APO-FLUVOXAMINE 100MG TABLET; FLUVOXAMINE MALEATE,APOTEX INC; MICRO LABS
propranolol,B: confirm date(s),1,FDA(2026-06-24); HSA(no-date),2026-06-24,NALOL TABLET 80 mg; PROPRANOLOL HYDROCHLORIDE,MICRO LABS; SUNWARD PHARMACEUTICAL PRIVATE LIMITED
