ingredient,tier,n_regulators_in_window,regulators,most_recent_approval,example_brands,applicants
guaifenesin,B: confirm date(s),1,FDA(2023-08-21); HSA(no-date),2023-08-21,GUAIFENESIN; MUCINEX EXTENDED RELEASE TABLETS 600MG,MARKSANS PHARMA; Reckitt Benckiser Healthcare International Limited
candesartan cilexetil,B: confirm date(s),1,FDA(2023-08-21); HSA(no-date),2023-08-21,ATACAND TABLET 16 mg; CANDESARTAN CILEXETIL,Klocke Pharma-Service GmbH; PRINSTON INC
methylphenidate,B: confirm date(s),1,FDA(2023-08-25); HSA(no-date),2023-08-25,METHYLPHENIDATE HYDROCHLORIDE; RITALIN TABLET 10 mg,SUN PHARM INDS INC; Siegfried Barbera S.L
crizotinib,B: confirm date(s),1,FDA(2023-09-07); HSA(no-date),2023-09-07,XALKORI; Xalkori Capsules 200mg,PF PRISM CV; Pfizer Manufacturing Deutschland GmbH
iopamidol,B: confirm date(s),1,FDA(2023-09-27); HSA(no-date),2023-09-27,IOPAMIDOL; IOPAMIRO 300 INJECTION 6.12 g/10 ml,HAINAN POLY; Patheon Italia S.p.A&&Bracco SpA
lamivudine,B: confirm date(s),1,FDA(2023-10-06); HSA(no-date),2023-10-06,LAMIVUDINE; LAVUDIN STANDARD F.C. TABLET 100 mg,HETERO LABS LTD III; Standard Chem. & Pharm. Co. Ltd
secukinumab,B: confirm date(s),1,FDA(2023-10-06); HSA(no-date),2023-10-06,COSENTYX; COSENTYX SOLUTION FOR INJECTION IN PREFILLED SENSOREADY PEN 150MG/ML,NOVARTIS PHARMS CORP; Novartis Pharma Stein AG&&Novartis Pharmaceutical Manufacturing GmbH
testosterone cypionate,B: confirm date(s),1,FDA(2023-10-20); HSA(no-date),2023-10-20,DEPO-TESTOSTERONE STERILE SOLUTION 100 mg/ml; TESTOSTERONE CYPIONATE,EUGIA PHARMA; Pharmacia & Upjohn Company LLC
carmustine,B: confirm date(s),1,FDA(2023-10-20); HSA(no-date),2023-10-20,BiCNU-100MG (CARMUSTINE FOR INJECTION USP 100MG) & DEHYDRATED ALCOHOL INJECTION USP AS A COMBIPACK; CARMUSTINE,ALEMBIC; Emcure Pharmaceuticals Limited (OSD and Potent Injectables)
midodrine,B: confirm date(s),1,FDA(2023-11-01); HSA(no-date),2023-11-01,GUTRON TABLET 5 mg; MIDODRINE HYDROCHLORIDE,MANKIND PHARMA; Takeda GmbH (Oranienburg plant)
fruquintinib,B: confirm date(s),1,FDA(2023-11-08); HSA(no-date),2023-11-08,FRUZAQLA; FRUZAQLA CAPSULE 5MG,STA Pharmaceutical Switzerland SA; TAKEDA PHARMS USA
tirzepatide,B: confirm date(s),1,FDA(2023-11-08); HSA(no-date),2023-11-08,MOUNJARO INJECTION 7.5MG/0.5ML; ZEPBOUND,ELI LILLY AND CO; Eli Lilly and Company&&Vetter Pharma-Fertigung GmbH & Co. KG (Bulk Production & Primary Packaging)
capivasertib,B: confirm date(s),1,FDA(2023-11-16); HSA(no-date),2023-11-16,TRUQAP; TRUQAP FILM-COATED TABLETS 200MG,ASTRAZENECA; AstraZeneca AB
probenecid,B: confirm date(s),1,FDA(2023-11-20); HSA(no-date),2023-11-20,PROBENECID; PROBENECID TABLET 500 mg,RISING; SUNWARD PHARMACEUTICAL PRIVATE LIMITED
ceftriaxone,B: confirm date(s),1,FDA(2024-01-12); HSA(no-date),2024-01-12,CEFTRIAXONE; CEFTRIPHINE POWDER FOR INJECTION 1 g/vial,DAE HAN NEW PHARM. CO. LTD.; DEVA HOLDING AS
febuxostat,B: confirm date(s),1,FDA(2024-01-17); HSA(no-date),2024-01-17,FEBURIC® FILM COATED TABLETS 80MG; FEBUXOSTAT,LUPIN; Patheon France&&Interthai Pharmaceutical Manufacturing Ltd.
levofloxacin,B: confirm date(s),1,FDA(2024-01-29); HSA(no-date),2024-01-29,CRAVIT OPHTHALMIC SOLUTION 0.5% w/v; LEVOFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,"KNACK; Santen Pharmaceutical Co., Ltd (Noto Plant)"
budesonide,B: confirm date(s),1,FDA(2024-02-09); HSA(no-date),2024-02-09,EOHILIA; PULMICORT TURBUHALER 100 mcg/dose,ASTRAZENECA AB; TAKEDA PHARMS USA
isosorbide mononitrate,B: confirm date(s),1,FDA(2024-02-15); HSA(no-date),2024-02-15,IMDEX CR TABLET 60 mg; ISOSORBIDE MONONITRATE,DUOPHARMA MANUFACTURING (BANGI) SDN.BHD.; ZYDUS PHARMS
ritonavir,B: confirm date(s),1,FDA(2024-02-16); HSA(no-date),2024-02-16,Norvir Tablets 100 mg; RITONAVIR,AbbVie Deutschland GmbH & Co. KG; QUAGEN
capecitabine,B: confirm date(s),1,FDA(2024-03-05); HSA(no-date),2024-03-05,CAPECITABINE; KAPETRAL FILM-COATED TABLET 150MG,"HETERO LABS LTD V; REMEDICA LTD (BUILDING 5-ANTI-CANCER/HORMONES, BUILDING 10-ANTI-CANCER)"
